Rank	Kanji	Occurrences	Percentage	Cumulative%	Heisig Index	Heisig Keyword
545	補	47274	0.04%	79.59%	1840	supplement
546	飛	47084	0.04%	79.63%	1887	fly
547	積	46962	0.04%	79.67%	1543	volume
548	求	46804	0.04%	79.72%	934	request
549	販	46746	0.04%	79.76%	726	marketing
550	央	46721	0.04%	79.81%	1740	center
551	令	46710	0.04%	79.85%	1401	orders
552	助	46652	0.04%	79.89%	1782	help
553	奏	46242	0.04%	79.94%	1571	play music
554	躍	46030	0.04%	79.98%	1285	leap
555	略	45886	0.04%	80.03%	293	abbreviation
556	波	45872	0.04%	80.07%	803	waves
557	告	45595	0.04%	80.11%	247	revelation
558	警	45543	0.04%	80.15%	336	admonish
559	段	45358	0.04%	80.20%	1859	grade
560	久	45170	0.04%	80.24%	1016	long time
561	火	45124	0.04%	80.28%	161	fire
562	標	44967	0.04%	80.32%	1608	signpost
563	整	44754	0.04%	80.37%	1670	organize
564	卒	44660	0.04%	80.41%	1025	graduate
565	徴	44469	0.04%	80.45%	887	indications
566	五	44367	0.04%	80.49%	5	five
567	花	44245	0.04%	80.53%	1009	flower
568	夫	44125	0.04%	80.58%	838	husband
569	階	44121	0.04%	80.62%	1309	story
570	辺	43996	0.04%	80.66%	284	environs
571	銀	43906	0.04%	80.70%	1459	silver
572	築	43867	0.04%	80.74%	950	fabricate
573	何	43499	0.04%	80.78%	1012	what
574	株	43470	0.04%	80.82%	222	stocks
575	伊	43424	0.04%	80.86%	1161	Italy
576	右	43390	0.04%	80.91%	78	right
577	悪	43161	0.04%	80.95%	1810	bad
578	織	43140	0.04%	80.99%	1334	weave
579	八	42975	0.04%	81.03%	8	eight
580	翌	42940	0.04%	81.07%	575	the following
581	効	42810	0.04%	81.11%	1276	merit
582	著	42783	0.04%	81.15%	1258	renowned
583	諸	42734	0.04%	81.19%	1261	various
584	病	42551	0.04%	81.23%	1682	ill
585	就	42389	0.04%	81.27%	1969	concerning
586	環	42374	0.04%	81.31%	836	ring
587	検	42201	0.04%	81.35%	1673	examination
588	若	42127	0.04%	81.39%	223	young
589	左	42105	0.04%	81.43%	77	left
590	複	42050	0.04%	81.47%	465	duplicate
591	満	42043	0.04%	81.51%	1169	full
592	黒	41746	0.04%	81.55%	174	black
593	越	41703	0.04%	81.59%	387	surpass
594	圧	41640	0.04%	81.63%	152	pressure
595	短	41597	0.04%	81.66%	1442	short
596	籍	41512	0.04%	81.70%	1567	enroll
597	博	41392	0.04%	81.74%	47	Dr.
598	描	41380	0.04%	81.78%	670	sketch
599	像	41377	0.04%	81.82%	1977	statue
600	宇	41261	0.04%	81.86%	1656	eaves
601	街	41190	0.04%	81.90%	890	boulevard
602	興	40982	0.04%	81.94%	1426	entertain
603	旅	40860	0.04%	81.98%	1048	trip
604	察	40776	0.04%	82.01%	1103	guess
605	医	40743	0.04%	82.05%	1694	doctor
